City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
149,Saint Anthony,US,2020-02-23 18:03:32,45.02,-93.22,45.0,48,1,11.41,clear sky,0.0,0.0
150,Nome,US,2020-02-23 18:03:32,64.5,-165.41,1.4,84,90,11.41,haze,0.0,0.0
151,East London,ZA,2020-02-23 18:02:13,-33.02,27.91,66.2,72,20,5.82,few clouds,0.0,0.0
152,Port Augusta,AU,2020-02-23 18:03:33,-32.5,137.77,75.0,73,62,8.05,broken clouds,0.0,0.0
153,Naze,JP,2020-02-23 18:03:33,28.37,129.48,51.8,87,0,4.7,clear sky,0.0,0.0
154,Celestun,MX,2020-02-23 18:03:33,20.87,-90.4,72.41,60,7,5.46,clear sky,0.0,0.0
155,Casper,US,2020-02-23 18:03:34,42.87,-106.31,39.99,68,1,3.36,clear sky,0.0,0.0
156,Mandalgovi,MN,2020-02-23 18:03:34,45.76,106.27,21.06,74,79,9.6,broken clouds,0.0,0.0
157,Saint-Leu,RE,2020-02-23 18:00:00,-21.15,55.28,78.8,78,20,2.24,few clouds,0.0,0.0
158,Mirnyy,RU,2020-02-23 18:03:35,62.54,113.96,-2.2,84,12,6.71,few clouds,0.0,0.0
159,Linhares,BR,2020-02-23 18:03:35,-19.39,-40.07,73.35,91,100,10.47,light rain,1.31,0.0
160,Sola,VU,2020-02-23 18:03:36,-13.88,167.55,82.78,78,25,15.57,scattered clouds,0.0,0.0
161,Nayoro,JP,2020-02-23 18:03:36,44.35,142.46,12.63,92,67,2.68,broken clouds,0.0,0.0
162,Kahului,US,2020-02-23 18:03:36,20.89,-156.47,72.0,82,20,5.82,few clouds,0.0,0.0
163,Tuatapere,NZ,2020-02-23 18:03:37,-46.13,167.68,51.01,91,29,3.0,scattered clouds,0.0,0.0
164,Guerrero Negro,MX,2020-02-23 18:03:37,27.98,-114.06,63.03,61,100,18.25,overcast clouds,0.0,0.0
165,Bengkulu,ID,2020-02-23 18:01:23,-3.8,102.27,74.64,90,15,4.23,few clouds,0.0,0.0
166,Kaitangata,NZ,2020-02-23 17:58:40,-46.28,169.85,55.99,82,99,4.0,overcast clouds,0.0,0.0
167,Barreirinhas,BR,2020-02-23 18:00:21,-2.75,-42.83,82.22,87,80,4.56,moderate rain,3.44,0.0
168,Lebu,CL,2020-02-23 18:03:38,-37.62,-73.65,69.19,57,2,9.35,clear sky,0.0,0.0
169,Guiren,CN,2020-02-23 18:03:38,33.67,118.19,51.93,79,100,7.72,overcast clouds,0.0,0.0
170,Te Anau,NZ,2020-02-23 18:03:38,-45.42,167.72,47.43,83,38,4.32,scattered clouds,0.0,0.0
171,Chokurdakh,RU,2020-02-23 18:03:38,70.63,147.92,-22.4,99,96,3.74,overcast clouds,0.0,0.0
172,Podlesnoye,RU,2020-02-23 18:03:39,51.82,47.01,31.95,97,100,16.49,light snow,0.0,0.5
173,Tiksi,RU,2020-02-23 17:58:47,71.69,128.87,-9.99,88,100,7.81,overcast clouds,0.0,0.0
174,Saraland,US,2020-02-23 18:03:39,30.82,-88.07,66.0,48,1,5.82,clear sky,0.0,0.0
175,Isangel,VU,2020-02-23 18:03:39,-19.55,169.27,77.16,78,29,13.98,scattered clouds,0.0,0.0
176,Muros,ES,2020-02-23 18:03:40,42.78,-9.06,66.0,72,0,5.82,clear sky,0.0,0.0
177,Saskylakh,RU,2020-02-23 17:58:42,71.92,114.08,6.31,85,100,8.46,overcast clouds,0.0,0.0
178,Colombia,CU,2020-02-23 18:00:11,20.99,-77.43,73.4,88,75,13.87,broken clouds,0.0,0.0
179,Salalah,OM,2020-02-23 18:03:40,17.02,54.09,77.0,73,0,2.24,clear sky,0.0,0.0
180,Skegness,GB,2020-02-23 18:03:40,53.14,0.34,44.6,65,20,12.75,few clouds,0.0,0.0
181,Sisimiut,GL,2020-02-23 17:59:55,66.94,-53.67,0.01,68,64,1.86,broken clouds,0.0,0.0
182,Calbuco,CL,2020-02-23 18:03:41,-41.77,-73.13,60.8,72,75,8.05,broken clouds,0.0,0.0
183,Morant Bay,JM,2020-02-23 18:03:41,17.88,-76.41,84.2,66,40,8.05,scattered clouds,0.0,0.0
184,Kalabo,ZM,2020-02-23 18:03:41,-14.97,22.68,68.2,91,100,15.43,heavy intensity rain,15.5,0.0
185,Paris,FR,2020-02-23 18:02:57,48.85,2.35,55.4,87,90,14.99,overcast clouds,0.0,0.0
186,Chiredzi,ZW,2020-02-23 18:03:42,-21.05,31.67,72.72,78,100,13.91,overcast clouds,0.0,0.0
187,Mitsamiouli,KM,2020-02-23 18:03:42,-11.38,43.28,82.4,88,20,2.24,few clouds,0.0,0.0
188,Labuhan,ID,2020-02-23 18:03:42,-6.88,112.21,75.2,93,89,3.27,light rain,0.13,0.0
189,Lekoni,GA,2020-02-23 18:03:43,-1.58,14.26,82.02,65,68,11.86,light rain,1.38,0.0
190,Kjollefjord,NO,2020-02-23 18:03:43,70.95,27.35,33.8,86,75,8.05,broken clouds,0.0,0.0
191,Bluff,NZ,2020-02-23 18:03:43,-46.6,168.33,51.01,91,40,3.0,scattered clouds,0.0,0.0
192,Sur,OM,2020-02-23 17:58:47,22.57,59.53,71.22,68,0,1.36,clear sky,0.0,0.0
193,Hovd,MN,2020-02-23 18:03:43,48.01,91.64,17.64,66,100,1.9,overcast clouds,0.0,0.0
194,Oster,UA,2020-02-23 18:03:44,50.95,30.88,41.0,75,90,11.18,overcast clouds,0.0,0.0
195,Lagoa,PT,2020-02-23 17:58:49,39.05,-27.98,60.24,78,15,11.54,few clouds,0.0,0.0
196,San Patricio,MX,2020-02-23 18:03:44,19.22,-104.7,82.4,69,5,6.93,clear sky,0.0,0.0
197,Zyryanka,RU,2020-02-23 18:03:44,65.75,150.85,-11.97,98,100,1.23,overcast clouds,0.0,0.0
198,Kupang,ID,2020-02-23 18:03:45,-10.17,123.58,83.73,79,50,11.65,scattered clouds,0.0,0.0
199,Binga,ZW,2020-02-23 18:03:45,-17.62,27.34,81.84,77,86,5.48,light rain,0.94,0.0
200,Bilibino,RU,2020-02-23 17:58:46,68.05,166.44,-31.88,99,85,2.33,overcast clouds,0.0,0.0
201,Norman Wells,CA,2020-02-23 18:03:45,65.28,-126.83,5.0,84,90,5.82,light snow,0.0,0.0
202,Atocha,BO,2020-02-23 18:03:45,-20.93,-66.23,61.21,42,60,10.78,light rain,0.31,0.0
203,Lumberton,US,2020-02-23 17:59:56,34.62,-79.01,62.01,30,1,6.93,clear sky,0.0,0.0
204,Sesheke,ZM,2020-02-23 18:03:46,-17.48,24.3,78.8,83,94,2.24,overcast clouds,0.0,0.0
205,Fukue,JP,2020-02-23 18:03:46,32.69,128.84,48.2,61,0,3.36,clear sky,0.0,0.0
206,Caravelas,BR,2020-02-23 18:03:46,-17.71,-39.25,78.6,89,99,15.14,light rain,0.44,0.0
207,Outjo,NA,2020-02-23 18:03:46,-20.12,16.15,76.5,61,97,6.91,overcast clouds,0.0,0.0
208,Nizwa,OM,2020-02-23 18:03:47,22.93,57.53,73.49,43,0,4.14,clear sky,0.0,0.0
209,Mount Darwin,ZW,2020-02-23 18:03:47,-16.77,31.58,72.03,85,100,1.34,light rain,1.56,0.0
210,Upernavik,GL,2020-02-23 17:58:43,72.79,-56.15,-16.91,80,0,6.64,clear sky,0.0,0.0
211,Yanam,IN,2020-02-23 18:03:47,16.73,82.22,80.6,65,20,5.82,haze,0.0,0.0
212,Acapulco,MX,2020-02-23 18:02:00,16.86,-99.89,84.2,74,5,8.05,clear sky,0.0,0.0
213,Srednekolymsk,RU,2020-02-23 18:03:48,67.45,153.68,-25.64,100,83,1.19,broken clouds,0.0,0.0
214,Shimoda,JP,2020-02-23 18:03:48,34.67,138.95,39.0,80,0,10.63,clear sky,0.0,0.0
215,Bonavista,CA,2020-02-23 18:03:48,48.65,-53.11,34.0,79,61,17.0,broken clouds,0.0,0.0
216,Kuantan,MY,2020-02-23 18:03:48,3.81,103.33,78.8,83,20,6.93,few clouds,0.0,0.0
217,Cidreira,BR,2020-02-23 18:03:49,-30.18,-50.21,71.91,62,1,12.26,clear sky,0.0,0.0
218,Faanui,PF,2020-02-23 18:03:49,-16.48,-151.75,82.67,70,66,10.54,broken clouds,0.0,0.0
219,Olafsvik,IS,2020-02-23 18:03:49,64.89,-23.71,31.48,74,100,8.81,overcast clouds,0.0,0.0
220,Kantunilkin,MX,2020-02-23 18:02:41,21.09,-87.45,78.8,65,75,9.17,broken clouds,0.0,0.0
221,Coquimbo,CL,2020-02-23 18:03:50,-29.95,-71.34,68.0,64,20,6.93,few clouds,0.0,0.0
222,Japura,ID,2020-02-23 18:03:50,-0.32,102.35,72.97,97,3,1.41,light rain,0.25,0.0
223,Les Cayes,HT,2020-02-23 18:03:50,18.2,-73.75,78.94,66,7,1.07,clear sky,0.0,0.0
224,Paamiut,GL,2020-02-23 18:03:50,61.99,-49.67,19.11,78,100,10.83,light snow,0.0,0.25
225,Ambilobe,MG,2020-02-23 18:03:50,-13.2,49.05,78.1,89,100,1.36,overcast clouds,0.0,0.0
226,Korsakovo,RU,2020-02-23 18:03:51,53.27,37.36,30.36,94,88,11.7,overcast clouds,0.0,0.0
227,Toppenish,US,2020-02-23 17:59:57,46.38,-120.31,55.99,57,40,16.11,scattered clouds,0.0,0.0
228,Tadine,NC,2020-02-23 17:59:55,-21.55,167.88,75.02,81,41,7.16,light rain,0.13,0.0
229,Kruisfontein,ZA,2020-02-23 18:03:52,-34.0,24.73,58.96,73,9,8.16,clear sky,0.0,0.0
230,Usinsk,RU,2020-02-23 18:03:52,65.99,57.53,28.51,89,100,29.53,light snow,0.0,0.13
231,Nichinan,JP,2020-02-23 18:03:52,31.6,131.37,41.0,65,0,6.87,clear sky,0.0,0.0
